CustomerID,PurchaseFrequency,CohortMonth,FrequencySegment
12427,3,01-12-2010,Medium Frequency
12428,9,01-03-2011,High Frequency
12429,4,01-12-2010,Medium Frequency
12430,1,,Low Frequency
12431,15,01-12-2010,High Frequency
12432,5,,High Frequency
12433,7,01-12-2010,High Frequency
12434,2,,Medium Frequency
12435,2,,Medium Frequency
12436,1,01-09-2011,Low Frequency
12437,18,01-01-2011,High Frequency
12438,2,,Medium Frequency
12441,1,01-12-2010,Low Frequency
12442,1,01-12-2011,Low Frequency
12444,5,01-08-2011,High Frequency
12445,1,,Low Frequency
12446,1,,Low Frequency
12447,1,01-04-2011,Low Frequency
12448,1,,Low Frequency
12449,4,01-06-2011,Medium Frequency
12450,2,01-07-2011,Medium Frequency
12451,5,01-05-2011,High Frequency
12452,2,,Medium Frequency
12453,1,,Low Frequency
12454,1,,Low Frequency
12455,6,01-06-2011,High Frequency
12456,3,,Medium Frequency
12457,7,01-10-2011,High Frequency
12458,2,,Medium Frequency
12461,2,01-07-2011,Medium Frequency
12462,2,01-02-2011,Medium Frequency
12463,4,01-04-2011,Medium Frequency
12464,8,01-02-2011,High Frequency
12465,2,,Medium Frequency
12468,2,01-06-2011,Medium Frequency
12471,30,01-12-2010,High Frequency
12472,7,01-12-2010,High Frequency
12473,5,01-06-2011,High Frequency
12474,18,01-07-2011,High Frequency
12475,1,,Low Frequency
12476,11,01-05-2011,High Frequency
12477,6,01-02-2011,High Frequency
12478,1,01-12-2011,Low Frequency
12479,1,,Low Frequency
12480,4,01-01-2011,Medium Frequency
12481,10,01-12-2010,High Frequency
12483,8,01-01-2011,High Frequency
12484,6,01-01-2011,High Frequency
12488,3,,Medium Frequency
12489,1,01-01-2011,Low Frequency
12490,10,01-05-2011,High Frequency
12491,1,01-11-2011,Low Frequency
12492,2,01-10-2011,Medium Frequency
12493,2,,Medium Frequency
12494,7,01-12-2010,High Frequency
12497,1,,Low Frequency
12498,3,,Medium Frequency
12500,11,01-01-2011,High Frequency
12501,1,01-01-2011,Low Frequency
12502,5,01-02-2011,High Frequency
12504,2,01-11-2011,Medium Frequency
12506,1,,Low Frequency
12507,3,01-07-2011,Medium Frequency
12508,2,01-11-2011,Medium Frequency
12509,1,,Low Frequency
12510,2,,Medium Frequency
12512,2,01-10-2011,Medium Frequency
12513,1,,Low Frequency
12514,1,,Low Frequency
12515,1,,Low Frequency
12516,2,01-06-2011,Medium Frequency
12517,5,01-06-2011,High Frequency
12518,5,01-10-2011,High Frequency
12519,1,01-10-2011,Low Frequency
12520,5,01-03-2011,High Frequency
12521,1,,Low Frequency
12522,2,,Medium Frequency
12523,11,01-01-2011,High Frequency
12524,8,01-01-2011,High Frequency
12526,3,01-09-2011,Medium Frequency
12527,3,,Medium Frequency
12528,6,01-03-2011,High Frequency
12530,4,01-01-2011,Medium Frequency
12531,1,,Low Frequency
12532,1,01-11-2011,Low Frequency
12534,1,01-08-2011,Low Frequency
12535,2,01-06-2011,Medium Frequency
12536,3,01-10-2011,Medium Frequency
12538,1,01-11-2011,Low Frequency
12539,4,01-01-2011,Medium Frequency
12540,17,01-01-2011,High Frequency
12541,3,01-03-2011,Medium Frequency
12544,1,01-11-2011,Low Frequency
12545,2,,Medium Frequency
12546,2,,Medium Frequency
12547,2,01-03-2011,Medium Frequency
12548,1,,Low Frequency
12550,1,,Low Frequency
12551,1,,Low Frequency
12552,2,01-11-2011,Medium Frequency
12553,10,01-03-2011,High Frequency
12556,2,01-07-2011,Medium Frequency
12557,5,01-12-2010,High Frequency
12558,1,01-12-2011,Low Frequency
12559,2,01-02-2011,Medium Frequency
12560,3,01-12-2011,Medium Frequency
12561,1,01-02-2011,Low Frequency
12562,7,01-08-2011,High Frequency
12564,1,,Low Frequency
12565,1,,Low Frequency
12566,1,,Low Frequency
12567,10,01-12-2010,High Frequency
12569,32,01-04-2011,High Frequency
12571,2,01-08-2011,Medium Frequency
12572,2,01-12-2011,Medium Frequency
12573,1,,Low Frequency
12574,1,,Low Frequency
12576,5,01-02-2011,High Frequency
12577,3,01-11-2011,Medium Frequency
12578,2,,Medium Frequency
12579,1,,Low Frequency
12580,1,01-04-2011,Low Frequency
12581,1,,Low Frequency
12582,2,,Medium Frequency
12583,15,01-12-2010,High Frequency
12584,9,01-03-2011,High Frequency
12585,2,,Medium Frequency
12586,1,,Low Frequency
12587,1,01-12-2011,Low Frequency
12588,1,,Low Frequency
12589,2,01-11-2011,Medium Frequency
12590,2,01-05-2011,Medium Frequency
12591,1,,Low Frequency
12592,2,01-05-2011,Medium Frequency
12593,3,01-05-2011,Medium Frequency
12594,10,01-06-2011,High Frequency
12596,2,01-04-2011,Medium Frequency
12597,4,01-06-2011,Medium Frequency
12598,8,01-05-2011,High Frequency
12599,7,01-02-2011,High Frequency
12600,10,01-12-2010,High Frequency
12601,5,01-01-2011,High Frequency
12602,1,01-10-2011,Low Frequency
12603,1,,Low Frequency
12604,2,,Medium Frequency
12607,1,01-10-2011,Low Frequency
12609,3,01-06-2011,Medium Frequency
12610,5,01-08-2011,High Frequency
12611,1,,Low Frequency
12612,1,,Low Frequency
12613,5,,High Frequency
12614,1,01-03-2011,Low Frequency
12615,4,01-11-2011,Medium Frequency
12616,2,01-09-2011,Medium Frequency
12617,1,01-11-2011,Low Frequency
12618,1,,Low Frequency
12619,9,01-07-2011,High Frequency
12620,3,,Medium Frequency
12621,20,01-12-2010,High Frequency
12622,1,,Low Frequency
12623,1,01-03-2011,Low Frequency
12624,2,,Medium Frequency
12625,2,01-05-2011,Medium Frequency
12626,9,01-08-2011,High Frequency
12627,7,01-08-2011,High Frequency
12628,3,01-10-2011,Medium Frequency
12630,2,,Medium Frequency
12631,1,,Low Frequency
12633,4,01-08-2011,Medium Frequency
12635,2,01-07-2011,Medium Frequency
12637,8,01-07-2011,High Frequency
12638,1,01-11-2011,Low Frequency
12639,1,,Low Frequency
12640,3,,Medium Frequency
12641,1,,Low Frequency
12642,3,,Medium Frequency
12643,6,01-01-2011,High Frequency
12644,1,01-08-2011,Low Frequency
12645,4,01-05-2011,Medium Frequency
12646,2,01-12-2011,Medium Frequency
12647,12,01-12-2010,High Frequency
12648,1,01-07-2011,Low Frequency
12649,3,01-05-2011,Medium Frequency
12650,1,01-12-2011,Low Frequency
12651,1,01-01-2011,Low Frequency
12652,1,01-01-2011,Low Frequency
12653,2,,Medium Frequency
12654,5,01-11-2011,High Frequency
12656,5,,High Frequency
12657,4,,Medium Frequency
12658,1,,Low Frequency
12659,1,01-11-2011,Low Frequency
12660,1,,Low Frequency
12662,11,01-12-2010,High Frequency
12664,9,01-10-2011,High Frequency
12665,1,,Low Frequency
12667,1,01-10-2011,Low Frequency
12668,4,,Medium Frequency
12669,3,01-04-2011,Medium Frequency
12670,5,01-09-2011,High Frequency
12672,1,,Low Frequency
12673,2,01-12-2011,Medium Frequency
12674,4,01-09-2011,Medium Frequency
12676,6,01-02-2011,High Frequency
12678,12,01-04-2011,High Frequency
12679,4,01-03-2011,Medium Frequency
12680,4,01-09-2011,Medium Frequency
12681,22,01-12-2010,High Frequency
12682,31,01-12-2010,High Frequency
12683,15,01-12-2010,High Frequency
12684,7,01-05-2011,High Frequency
12685,6,01-09-2011,High Frequency
12686,1,01-12-2010,Low Frequency
12688,1,,Low Frequency
12689,2,01-08-2011,Medium Frequency
12690,1,,Low Frequency
12691,6,01-10-2011,High Frequency
12693,4,01-05-2011,Medium Frequency
12694,2,01-06-2011,Medium Frequency
12695,4,01-10-2011,Medium Frequency
12697,3,01-11-2011,Medium Frequency
12700,4,01-05-2011,Medium Frequency
12701,2,01-04-2011,Medium Frequency
12702,1,,Low Frequency
12703,1,,Low Frequency
12704,8,01-08-2011,High Frequency
12705,9,01-04-2011,High Frequency
12707,1,,Low Frequency
12708,10,01-12-2010,High Frequency
12709,15,01-12-2010,High Frequency
12710,3,01-07-2011,Medium Frequency
12712,13,01-12-2010,High Frequency
12713,1,01-12-2011,Low Frequency
12714,5,,High Frequency
12715,1,,Low Frequency
12716,2,01-12-2011,Medium Frequency
12717,2,01-04-2011,Medium Frequency
12718,1,,Low Frequency
12719,2,01-10-2011,Medium Frequency
12720,25,01-12-2010,High Frequency
12721,6,01-02-2011,High Frequency
12722,4,01-07-2011,Medium Frequency
12723,5,01-10-2011,High Frequency
12724,4,01-01-2011,Medium Frequency
12725,1,01-12-2010,Low Frequency
12726,7,01-05-2011,High Frequency
12727,7,01-03-2011,High Frequency
12728,4,01-01-2011,Medium Frequency
12729,1,,Low Frequency
12731,12,01-12-2010,High Frequency
12732,1,,Low Frequency
12733,1,,Low Frequency
12734,1,,Low Frequency
12735,2,01-01-2011,Medium Frequency
12736,1,01-01-2011,Low Frequency
12738,1,01-12-2010,Low Frequency
12739,2,01-09-2011,Medium Frequency
12740,1,01-10-2011,Low Frequency
12743,2,,Medium Frequency
12744,7,01-04-2011,High Frequency
12747,11,01-12-2010,High Frequency
12748,209,01-12-2010,High Frequency
12749,5,01-05-2011,High Frequency
12750,1,01-08-2011,Low Frequency
12752,1,,Low Frequency
12753,6,01-12-2010,High Frequency
12754,3,01-02-2011,Medium Frequency
12755,2,01-12-2010,Medium Frequency
12756,1,,Low Frequency
12757,13,01-05-2011,High Frequency
12758,2,01-03-2011,Medium Frequency
12759,3,01-03-2011,Medium Frequency
12762,2,01-12-2011,Medium Frequency
12763,2,01-12-2010,Medium Frequency
12764,1,,Low Frequency
12766,7,01-12-2010,High Frequency
12769,1,,Low Frequency
12770,1,,Low Frequency
12772,1,01-10-2011,Low Frequency
12775,5,01-02-2011,High Frequency
12778,6,01-06-2011,High Frequency
12779,8,01-12-2010,High Frequency
12781,2,01-10-2011,Medium Frequency
12782,5,01-12-2011,High Frequency
12783,6,01-11-2011,High Frequency
12784,2,,Medium Frequency
12785,1,01-12-2010,Low Frequency
12787,3,01-09-2011,Medium Frequency
12789,1,01-10-2011,Low Frequency
12790,1,,Low Frequency
12791,1,01-12-2010,Low Frequency
12792,1,,Low Frequency
12793,2,01-12-2010,Medium Frequency
12794,2,01-09-2011,Medium Frequency
12795,1,,Low Frequency
12797,1,01-12-2010,Low Frequency
12798,3,,Medium Frequency
12802,1,01-06-2011,Low Frequency
12808,3,01-12-2010,Medium Frequency
12809,1,,Low Frequency
12811,3,,Medium Frequency
12812,1,,Low Frequency
12814,1,,Low Frequency
12815,2,,Medium Frequency
12816,2,01-09-2011,Medium Frequency
12817,1,01-03-2011,Low Frequency
12818,1,,Low Frequency
12820,4,01-12-2011,Medium Frequency
12821,1,01-05-2011,Low Frequency
12822,2,,Medium Frequency
12823,5,01-08-2011,High Frequency
12824,1,01-10-2011,Low Frequency
12826,7,01-12-2010,High Frequency
12827,3,01-11-2011,Medium Frequency
12828,6,01-08-2011,High Frequency
12829,2,01-01-2011,Medium Frequency
12830,6,01-07-2011,High Frequency
12831,1,,Low Frequency
12832,2,01-09-2011,Medium Frequency
12833,1,,Low Frequency
12834,1,01-03-2011,Low Frequency
12836,4,01-02-2011,Medium Frequency
12837,1,,Low Frequency
12838,2,01-12-2010,Medium Frequency
12839,14,01-12-2010,High Frequency
12840,4,01-05-2011,Medium Frequency
12841,25,01-12-2010,High Frequency
12842,2,01-02-2011,Medium Frequency
12843,8,01-05-2011,High Frequency
12844,2,01-08-2011,Medium Frequency
12845,4,,Medium Frequency
12847,1,,Low Frequency
12849,2,01-11-2011,Medium Frequency
12851,1,01-09-2011,Low Frequency
12852,1,,Low Frequency
12853,6,,High Frequency
12854,3,01-04-2011,Medium Frequency
12855,1,01-12-2010,Low Frequency
12856,6,01-10-2011,High Frequency
12857,2,01-02-2011,Medium Frequency
12863,1,,Low Frequency
12864,1,,Low Frequency
12865,2,01-08-2011,Medium Frequency
12866,1,01-03-2011,Low Frequency
12867,7,01-05-2011,High Frequency
12868,6,01-12-2010,High Frequency
12871,2,,Medium Frequency
12872,2,01-12-2010,Medium Frequency
12873,1,01-03-2011,Low Frequency
12875,2,01-12-2010,Medium Frequency
12876,2,,Medium Frequency
12877,12,01-04-2011,High Frequency
12878,2,,Medium Frequency
12879,3,01-09-2011,Medium Frequency
12881,1,01-03-2011,Low Frequency
12882,2,01-11-2011,Medium Frequency
12883,4,01-09-2011,Medium Frequency
12884,1,01-09-2011,Low Frequency
12885,3,01-08-2011,Medium Frequency
12886,2,01-05-2011,Medium Frequency
12888,2,01-05-2011,Medium Frequency
12890,1,,Low Frequency
12891,3,01-05-2011,Medium Frequency
12893,1,01-11-2011,Low Frequency
12895,2,,Medium Frequency
12897,2,01-02-2011,Medium Frequency
12901,28,01-04-2011,High Frequency
12902,1,,Low Frequency
12904,2,,Medium Frequency
12906,5,,High Frequency
12908,2,,Medium Frequency
12909,5,,High Frequency
12910,8,01-04-2011,High Frequency
12912,5,01-12-2011,High Frequency
12913,5,01-12-2010,High Frequency
12915,2,01-12-2010,Medium Frequency
12916,4,,Medium Frequency
12917,1,01-08-2011,Low Frequency
12919,6,01-07-2011,High Frequency
12920,1,,Low Frequency
12921,37,01-12-2010,High Frequency
12922,1,01-07-2011,Low Frequency
12923,1,01-10-2011,Low Frequency
12924,4,01-03-2011,Medium Frequency
12925,2,01-12-2011,Medium Frequency
12928,5,01-04-2011,High Frequency
12929,1,01-02-2011,Low Frequency
12930,2,,Medium Frequency
12931,15,01-08-2011,High Frequency
12933,3,01-03-2011,Medium Frequency
12935,7,01-12-2011,High Frequency
12936,4,,Medium Frequency
12937,4,,Medium Frequency
12938,1,,Low Frequency
12939,8,01-01-2011,High Frequency
12940,2,,Medium Frequency
12942,3,01-12-2010,Medium Frequency
12944,2,01-11-2011,Medium Frequency
12945,1,,Low Frequency
12947,6,01-12-2010,High Frequency
12948,7,01-05-2011,High Frequency
12949,8,01-04-2011,High Frequency
12950,3,01-12-2011,Medium Frequency
12951,6,01-04-2011,High Frequency
12952,4,01-12-2011,Medium Frequency
12953,1,,Low Frequency
12955,11,01-05-2011,High Frequency
12956,1,01-02-2011,Low Frequency
12957,8,01-01-2011,High Frequency
12962,2,01-12-2011,Medium Frequency
12963,8,01-12-2010,High Frequency
12965,1,01-09-2011,Low Frequency
12966,1,,Low Frequency
12967,2,01-12-2010,Medium Frequency
12968,1,,Low Frequency
12970,4,01-12-2011,Medium Frequency
12971,86,01-12-2010,High Frequency
12974,1,,Low Frequency
12976,1,01-05-2011,Low Frequency
12977,1,01-07-2011,Low Frequency
12980,9,01-01-2011,High Frequency
12981,2,01-11-2011,Medium Frequency
12982,1,01-04-2011,Low Frequency
12984,1,,Low Frequency
12985,2,01-11-2011,Medium Frequency
12987,2,,Medium Frequency
12988,1,,Low Frequency
12989,15,01-12-2010,High Frequency
12990,3,01-02-2011,Medium Frequency
12991,2,,Medium Frequency
12993,4,01-08-2011,Medium Frequency
12994,3,01-08-2011,Medium Frequency
12995,1,,Low Frequency
12997,4,01-09-2011,Medium Frequency
12999,3,01-04-2011,Medium Frequency
13000,3,01-12-2010,Medium Frequency
13001,13,01-03-2011,High Frequency
13002,1,,Low Frequency
13003,3,01-05-2011,Medium Frequency
13004,18,01-01-2011,High Frequency
13005,2,01-04-2011,Medium Frequency
13006,1,,Low Frequency
13008,1,,Low Frequency
13011,1,01-12-2010,Low Frequency
13012,8,01-05-2011,High Frequency
13013,13,01-12-2010,High Frequency
13014,10,01-03-2011,High Frequency
13015,5,01-04-2011,High Frequency
13016,3,01-08-2011,Medium Frequency
13017,1,01-12-2011,Low Frequency
13018,28,01-04-2011,High Frequency
13021,9,01-05-2011,High Frequency
13023,2,01-08-2011,Medium Frequency
13026,5,01-03-2011,High Frequency
13027,6,01-07-2011,High Frequency
13028,2,,Medium Frequency
13029,3,01-11-2011,Medium Frequency
13030,2,01-12-2010,Medium Frequency
13032,2,,Medium Frequency
13033,1,,Low Frequency
13034,2,01-12-2010,Medium Frequency
13035,2,,Medium Frequency
13037,3,01-05-2011,Medium Frequency
13038,3,01-06-2011,Medium Frequency
13040,2,01-11-2011,Medium Frequency
13043,1,01-03-2011,Low Frequency
13044,1,,Low Frequency
13045,1,01-09-2011,Low Frequency
13046,2,01-11-2011,Medium Frequency
13047,10,01-12-2010,High Frequency
13048,4,,Medium Frequency
13049,2,01-10-2011,Medium Frequency
13050,17,01-12-2010,High Frequency
13052,1,01-05-2011,Low Frequency
13055,3,01-05-2011,Medium Frequency
13058,3,01-07-2011,Medium Frequency
13059,1,01-04-2011,Low Frequency
13060,1,,Low Frequency
13061,1,,Low Frequency
13062,1,01-06-2011,Low Frequency
13064,4,01-07-2011,Medium Frequency
13065,1,01-12-2010,Low Frequency
13066,2,01-11-2011,Medium Frequency
13067,1,,Low Frequency
13068,2,,Medium Frequency
13069,24,01-12-2010,High Frequency
13070,1,,Low Frequency
13072,1,,Low Frequency
13075,1,01-08-2011,Low Frequency
13077,4,01-12-2010,Medium Frequency
13078,26,01-12-2010,High Frequency
13079,5,01-09-2011,High Frequency
13080,1,,Low Frequency
13081,11,01-12-2010,High Frequency
13082,9,01-01-2011,High Frequency
13083,2,01-12-2011,Medium Frequency
13085,2,01-07-2011,Medium Frequency
13089,97,01-12-2010,High Frequency
13090,14,01-12-2010,High Frequency
13091,1,01-11-2011,Low Frequency
13092,5,01-03-2011,High Frequency
13093,8,01-12-2010,High Frequency
13094,12,01-12-2010,High Frequency
13095,1,,Low Frequency
13097,10,01-01-2011,High Frequency
13098,28,01-02-2011,High Frequency
13099,1,01-09-2011,Low Frequency
13101,1,,Low Frequency
13102,24,01-12-2010,High Frequency
13103,1,,Low Frequency
13104,6,01-12-2011,High Frequency
13106,1,,Low Frequency
13107,4,01-01-2011,Medium Frequency
13108,1,01-12-2010,Low Frequency
13109,2,01-07-2011,Medium Frequency
13110,7,01-02-2011,High Frequency
13113,24,01-12-2010,High Frequency
13115,4,01-06-2011,Medium Frequency
13116,1,,Low Frequency
13117,8,01-12-2010,High Frequency
13118,5,,High Frequency
13120,1,,Low Frequency
13121,1,,Low Frequency
13122,2,01-09-2011,Medium Frequency
13124,3,01-04-2011,Medium Frequency
13126,8,01-12-2010,High Frequency
13127,1,,Low Frequency
13130,1,01-09-2011,Low Frequency
13131,3,01-06-2011,Medium Frequency
13132,1,,Low Frequency
13133,2,01-02-2011,Medium Frequency
13134,4,01-06-2011,Medium Frequency
13135,1,,Low Frequency
13136,5,01-05-2011,High Frequency
13137,8,01-02-2011,High Frequency
13138,6,01-12-2010,High Frequency
13139,7,01-05-2011,High Frequency
13140,3,01-12-2010,Medium Frequency
13141,5,01-05-2011,High Frequency
13142,1,,Low Frequency
13144,1,01-01-2011,Low Frequency
13145,4,01-12-2010,Medium Frequency
13146,1,,Low Frequency
13147,4,01-09-2011,Medium Frequency
13148,12,01-12-2010,High Frequency
13149,4,,Medium Frequency
13151,1,,Low Frequency
13153,1,01-12-2011,Low Frequency
13155,4,01-12-2010,Medium Frequency
13157,4,01-04-2011,Medium Frequency
13158,4,01-07-2011,Medium Frequency
13159,4,01-12-2011,Medium Frequency
13160,1,,Low Frequency
13161,1,,Low Frequency
13162,4,01-01-2011,Medium Frequency
13165,2,,Medium Frequency
13166,1,01-03-2011,Low Frequency
13167,4,01-08-2011,Medium Frequency
13168,4,01-11-2011,Medium Frequency
13169,2,01-04-2011,Medium Frequency
13170,1,,Low Frequency
13171,3,,Medium Frequency
13173,2,01-12-2010,Medium Frequency
13174,3,01-12-2010,Medium Frequency
13176,1,,Low Frequency
13177,1,01-10-2011,Low Frequency
13178,11,01-04-2011,High Frequency
13182,1,,Low Frequency
13183,9,01-01-2011,High Frequency
13184,10,01-04-2011,High Frequency
13185,1,,Low Frequency
13186,3,01-08-2011,Medium Frequency
13187,1,01-01-2011,Low Frequency
13188,1,,Low Frequency
13189,2,,Medium Frequency
13192,2,01-09-2011,Medium Frequency
13193,1,01-10-2011,Low Frequency
13194,1,,Low Frequency
13196,4,,Medium Frequency
13198,6,01-04-2011,High Frequency
13199,38,01-12-2010,High Frequency
13200,4,01-08-2011,Medium Frequency
13203,4,01-04-2011,Medium Frequency
13207,2,01-07-2011,Medium Frequency
13208,6,01-02-2011,High Frequency
13209,8,01-08-2011,High Frequency
13210,1,01-09-2011,Low Frequency
13211,3,01-09-2011,Medium Frequency
13212,3,01-10-2011,Medium Frequency
13213,5,01-06-2011,High Frequency
13216,1,,Low Frequency
13217,3,01-07-2011,Medium Frequency
13218,1,01-08-2011,Low Frequency
13220,4,01-05-2011,Medium Frequency
13221,2,,Medium Frequency
13223,2,,Medium Frequency
13224,2,01-07-2011,Medium Frequency
13225,7,01-01-2011,High Frequency
13226,1,01-03-2011,Low Frequency
13227,1,,Low Frequency
13228,1,,Low Frequency
13229,1,,Low Frequency
13230,14,01-12-2010,High Frequency
13232,7,01-04-2011,High Frequency
13233,2,01-01-2011,Medium Frequency
13235,1,01-05-2011,Low Frequency
13236,2,,Medium Frequency
13238,4,,Medium Frequency
13239,1,,Low Frequency
13240,4,01-12-2010,Medium Frequency
13242,3,01-05-2011,Medium Frequency
13243,1,,Low Frequency
13244,1,01-09-2011,Low Frequency
13245,1,,Low Frequency
13246,6,,High Frequency
13247,4,,Medium Frequency
13248,2,01-06-2011,Medium Frequency
13249,3,01-09-2011,Medium Frequency
13253,2,01-01-2011,Medium Frequency
13255,2,01-12-2010,Medium Frequency
13258,3,,Medium Frequency
13259,1,01-10-2011,Low Frequency
13260,1,01-10-2011,Low Frequency
13261,2,,Medium Frequency
13262,1,,Low Frequency
13263,35,01-03-2011,High Frequency
13265,5,01-03-2011,High Frequency
13266,12,01-04-2011,High Frequency
13267,19,01-12-2010,High Frequency
13268,11,01-04-2011,High Frequency
13269,15,01-12-2010,High Frequency
13270,1,01-12-2010,Low Frequency
13271,1,01-11-2011,Low Frequency
13272,2,01-09-2011,Medium Frequency
13273,1,,Low Frequency
13276,2,01-09-2011,Medium Frequency
13277,4,,Medium Frequency
13278,1,,Low Frequency
13279,1,,Low Frequency
13280,3,01-01-2011,Medium Frequency
13282,3,01-05-2011,Medium Frequency
13283,2,01-06-2011,Medium Frequency
13284,1,,Low Frequency
13285,4,01-07-2011,Medium Frequency
13291,1,01-07-2011,Low Frequency
13292,2,01-11-2011,Medium Frequency
13294,2,01-04-2011,Medium Frequency
13295,1,,Low Frequency
13296,1,,Low Frequency
13297,4,01-10-2011,Medium Frequency
13298,1,01-12-2011,Low Frequency
13299,1,,Low Frequency
13300,1,,Low Frequency
13301,4,01-05-2011,Medium Frequency
13302,1,01-07-2011,Low Frequency
13304,1,,Low Frequency
13305,10,01-12-2010,High Frequency
13307,1,01-08-2011,Low Frequency
13308,3,,Medium Frequency
13309,5,01-02-2011,High Frequency
13310,3,01-11-2011,Medium Frequency
13311,2,01-07-2011,Medium Frequency
13313,5,01-01-2011,High Frequency
13314,3,01-10-2011,Medium Frequency
13316,4,01-11-2011,Medium Frequency
13317,6,01-10-2011,High Frequency
13318,3,01-11-2011,Medium Frequency
13319,26,01-12-2010,High Frequency
13320,4,01-05-2011,Medium Frequency
13321,2,,Medium Frequency
13322,1,,Low Frequency
13323,5,01-11-2011,High Frequency
13324,10,01-04-2011,High Frequency
13325,1,,Low Frequency
13327,8,01-12-2010,High Frequency
13328,1,,Low Frequency
13329,2,01-12-2010,Medium Frequency
13330,3,01-06-2011,Medium Frequency
13332,1,,Low Frequency
13334,3,01-02-2011,Medium Frequency
13336,1,,Low Frequency
13338,1,01-07-2011,Low Frequency
13339,1,,Low Frequency
13340,7,01-03-2011,High Frequency
13341,1,,Low Frequency
13343,1,,Low Frequency
13344,3,01-03-2011,Medium Frequency
13345,1,,Low Frequency
13347,1,,Low Frequency
13348,1,01-10-2011,Low Frequency
13349,1,,Low Frequency
13350,2,,Medium Frequency
13351,1,01-10-2011,Low Frequency
13352,1,01-10-2011,Low Frequency
13354,1,,Low Frequency
13355,1,01-08-2011,Low Frequency
13356,1,,Low Frequency
13357,1,,Low Frequency
13358,1,,Low Frequency
13359,1,01-10-2011,Low Frequency
13362,4,01-04-2011,Medium Frequency
13363,2,,Medium Frequency
13364,1,,Low Frequency
13365,2,01-05-2011,Medium Frequency
13366,1,,Low Frequency
13368,2,01-01-2011,Medium Frequency
13369,1,01-12-2010,Low Frequency
13370,1,01-12-2010,Low Frequency
13372,1,01-09-2011,Low Frequency
13373,3,01-03-2011,Medium Frequency
13375,1,01-09-2011,Low Frequency
13376,3,01-09-2011,Medium Frequency
13379,3,01-10-2011,Medium Frequency
13381,6,01-09-2011,High Frequency
13382,1,01-03-2011,Low Frequency
13384,7,01-08-2011,High Frequency
13385,1,,Low Frequency
13388,2,,Medium Frequency
13389,3,,Medium Frequency
13390,1,,Low Frequency
13391,1,,Low Frequency
13394,8,01-02-2011,High Frequency
13395,1,01-06-2011,Low Frequency
13396,2,01-11-2011,Medium Frequency
13397,5,01-01-2011,High Frequency
13398,1,,Low Frequency
13402,2,01-12-2010,Medium Frequency
13403,1,,Low Frequency
13404,2,01-05-2011,Medium Frequency
13405,3,,Medium Frequency
13408,62,01-12-2010,High Frequency
13410,5,01-06-2011,High Frequency
13411,1,,Low Frequency
13414,3,01-07-2011,Medium Frequency
13416,2,,Medium Frequency
13417,2,01-12-2011,Medium Frequency
13418,18,01-12-2010,High Frequency
13419,1,01-10-2011,Low Frequency
13420,2,,Medium Frequency
13421,2,,Medium Frequency
13422,1,01-10-2011,Low Frequency
13425,3,,Medium Frequency
13426,10,01-01-2011,High Frequency
13427,3,01-05-2011,Medium Frequency
13428,1,,Low Frequency
