CustomerID,AOV,PurchaseFrequency,CLTV
12426,582.73,1,582.73
12427,275.26666666666665,3,825.8
12428,884.0511111111111,9,7956.46
12429,937.6,4,3750.4
12430,256.4,1,256.4
12431,427.99666666666667,15,6419.95
12432,1011.8639999999999,5,5059.32
12433,1910.8385714285716,7,13375.87
12434,403.07,2,806.14
12435,3914.945,2,7829.89
12436,509.01,1,509.01
12437,275.0783333333333,18,4951.41
12438,1453.425,2,2906.85
12441,173.55,1,173.55
12442,172.06,1,172.06
12444,1001.092,5,5005.46
12445,133.4,1,133.4
12446,1002.3100000000001,1,1002.3100000000001
12447,476.49,1,476.49
12448,449.45,1,449.45
12449,1016.8225,4,4067.29
12450,98.94,2,197.88
12451,1807.104,5,9035.52
12452,215.285,2,430.57
12453,707.09,1,707.09
12454,3528.34,1,3528.34
12455,411.1433333333334,6,2466.86
12456,1060.3466666666666,3,3181.04
12457,337.6042857142857,7,2363.23
12458,473.7,2,947.4
12461,413.44,2,826.88
12462,594.795,2,1189.59
12463,336.195,4,1344.78
12464,151.50625,8,1212.05
12465,371.09499999999997,2,742.1899999999999
12468,364.77000000000004,2,729.5400000000001
12471,659.6216666666667,30,19788.65
12472,938.8728571428571,7,6572.11
12473,785.6099999999999,5,3928.0499999999993
12474,406.8938888888889,18,7324.09
12475,723.38,1,723.38
12476,619.6745454545454,11,6816.419999999999
12477,2203.29,6,13219.74
12478,680.99,1,680.99
12479,527.2,1,527.2
12480,820.4075,4,3281.63
12481,557.982,10,5579.82
12483,310.6225,8,2484.98
12484,754.5533333333333,6,4527.32
12488,432.8866666666667,3,1298.66
12489,334.93,1,334.93
12490,541.793,10,5417.93
12491,460.40000000000003,1,460.40000000000003
12492,131.60500000000002,2,263.21000000000004
12493,216.87,2,433.74
12494,178.01428571428573,7,1246.1000000000001
12497,1043.1,1,1043.1
12498,134.5666666666667,3,403.70000000000005
12500,387.07454545454544,11,4257.82
12501,2169.39,1,2169.39
12502,744.774,5,3723.87
12504,241.02499999999998,2,482.04999999999995
12506,73.5,1,73.5
12507,434.93666666666667,3,1304.81
12508,198.94,2,397.88
12509,176.5,1,176.5
12510,491.28499999999997,2,982.5699999999999
12512,66.09,2,132.18
12513,612.29,1,612.29
12514,1017.68,1,1017.68
12515,383.7,1,383.7
12516,656.03,2,1312.06
12517,496.32,5,2481.6
12518,411.378,5,2056.89
12519,330.84,1,330.84
12520,526.8520000000001,5,2634.26
12521,599.68,1,599.68
12522,96.36,2,192.72
12523,162.70636363636365,11,1789.7700000000002
12524,560.715,8,4485.72
12526,438.8866666666667,3,1316.66
12527,116.23666666666668,3,348.71000000000004
12528,322.24666666666667,6,1933.48
12530,415.57,4,1662.28
12531,125.22,1,125.22
12532,349.83000000000004,1,349.83000000000004
12534,1089.18,1,1089.18
12535,358.175,2,716.35
12536,4200.610000000001,3,12601.830000000002
12538,363.95,1,363.95
12539,1392.0875,4,5568.35
12540,788.2494117647059,17,13400.24
12541,327.06,3,981.1800000000001
12544,372.7,1,372.7
12545,500.195,2,1000.39
12546,580.75,2,1161.5
12547,103.89999999999999,2,207.79999999999998
12548,95.19999999999999,1,95.19999999999999
12550,964.83,1,964.83
12551,168.0,1,168.0
12552,218.91,2,437.82
12553,369.228,10,3692.28
12556,299.78,2,599.56
12557,2398.192,5,11990.96
12558,269.96,1,269.96
12559,280.855,2,561.71
12560,711.3366666666667,3,2134.01
12561,238.85,1,238.85
12562,540.2485714285715,7,3781.7400000000007
12564,456.9,1,456.9
12565,145.92,1,145.92
12566,351.65,1,351.65
12567,940.128,10,9401.28
12569,128.8965625,32,4124.69
12571,259.805,2,519.61
12572,510.21,2,1020.42
12573,160.54000000000002,1,160.54000000000002
12574,218.45,1,218.45
12576,263.166,5,1315.83
12577,208.86666666666667,3,626.6
12578,1397.255,2,2794.51
12579,440.42,1,440.42
12580,415.7,1,415.7
12581,197.71,1,197.71
12582,255.68,2,511.36
12583,485.42533333333336,15,7281.38
12584,259.7944444444445,9,2338.1500000000005
12585,1020.05,2,2040.1
12586,196.94000000000003,1,196.94000000000003
12587,144.0,1,144.0
12588,214.89999999999998,1,214.89999999999998
12589,323.34,2,646.68
12590,4932.13,2,9864.26
12591,452.84999999999997,1,452.84999999999997
12592,218.8,2,437.6
12593,139.36666666666665,3,418.0999999999999
12594,333.822,10,3338.2200000000003
12596,309.135,2,618.27
12597,952.805,4,3811.22
12598,377.885,8,3023.08
12599,147.51142857142855,7,1032.58
12600,259.904,10,2599.04
12601,115.412,5,577.0600000000001
12602,153.12,1,153.12
12603,739.1999999999999,1,739.1999999999999
12604,127.09,2,254.18
12607,1579.51,1,1579.51
12609,375.6166666666666,3,1126.85
12610,419.908,5,2099.54
12611,1193.32,1,1193.32
12612,704.0400000000001,1,704.0400000000001
12613,668.876,5,3344.38
12614,315.6,1,315.6
12615,572.7975,4,2291.19
12616,356.65,2,713.3
12617,352.98,1,352.98
12618,177.31,1,177.31
12619,404.5822222222222,9,3641.24
12620,446.47,3,1339.41
12621,684.4835,20,13689.670000000002
12622,180.1,1,180.1
12623,305.1,1,305.1
12624,320.565,2,641.13
12625,1341.91,2,2683.82
12626,735.6088888888888,9,6620.48
12627,639.79,7,4478.53
12628,262.15333333333336,3,786.46
12630,635.44,2,1270.88
12631,640.5,1,640.5
12633,540.995,4,2163.98
12635,844.59,2,1689.18
12637,750.3625,8,6002.9
12638,671.69,1,671.69
12639,486.1,1,486.1
12640,391.52666666666664,3,1174.58
12641,185.9,1,185.9
12642,337.75333333333333,3,1013.26
12643,557.4399999999999,6,3344.6399999999994
12644,477.91,1,477.91
12645,443.795,4,1775.18
12646,673.485,2,1346.97
12647,310.235,12,3722.82
12648,318.05,1,318.05
12649,207.83666666666667,3,623.51
12650,314.44,1,314.44
12651,114.0,1,114.0
12652,919.98,1,919.98
12653,1104.925,2,2209.85
12654,120.396,5,601.98
12656,810.234,5,4051.17
12657,410.795,4,1643.18
12658,686.05,1,686.05
12659,91.68,1,91.68
12660,245.1,1,245.1
12662,349.98,11,3849.78
12664,542.4311111111111,9,4881.88
12665,63.0,1,63.0
12667,620.13,1,620.13
12668,951.7875,4,3807.15
12669,914.6766666666666,3,2744.0299999999997
12670,599.21,5,2996.05
12672,225.89999999999998,1,225.89999999999998
12673,305.26,2,610.52
12674,492.65,4,1970.6
12676,221.89833333333334,6,1331.39
12678,1469.0383333333332,12,17628.46
12679,278.255,4,1113.02
12680,215.7025,4,862.81
12681,626.7063636363637,22,13787.54
12682,396.1232258064516,31,12279.82
12683,565.1046666666666,15,8476.57
12684,326.23285714285714,7,2283.63
12685,477.18,6,2863.08
12686,89.14,1,89.14
12688,4873.8099999999995,1,4873.8099999999995
12689,623.805,2,1247.61
12690,389.01,1,389.01
12691,172.63333333333333,6,1035.8
12693,213.9775,4,855.91
12694,434.835,2,869.67
12695,145.525,4,582.1
12697,319.19666666666666,3,957.5899999999999
12700,1234.9975,4,4939.99
12701,398.855,2,797.71
12702,219.0,1,219.0
12703,283.55,1,283.55
12704,292.605,8,2340.84
12705,763.1433333333333,9,6868.29
12707,603.42,1,603.42
12708,271.291,10,2712.91
12709,647.1013333333334,15,9706.52
12710,383.00666666666666,3,1149.02
12712,338.1638461538462,13,4396.13
12713,848.55,1,848.55
12714,941.7719999999999,5,4708.86
12715,343.36,1,343.36
12716,526.745,2,1053.49
12717,515.49,2,1030.98
12718,238.25,1,238.25
12719,322.475,2,644.95
12720,231.26919999999998,25,5781.73
12721,442.68833333333333,6,2656.13
12722,249.4075,4,997.63
12723,145.014,5,725.07
12724,257.8525,4,1031.41
12725,427.8,1,427.8
12726,372.7285714285714,7,2609.1
12727,568.6714285714286,7,3980.7
12728,209.0825,4,836.33
12729,453.01,1,453.01
12731,1574.6591666666666,12,18895.91
12732,236.26000000000002,1,236.26000000000002
12733,383.95,1,383.95
12734,110.39999999999999,1,110.39999999999999
12735,389.78499999999997,2,779.5699999999999
12736,234.0,1,234.0
12738,155.35,1,155.35
12739,506.52,2,1013.04
12740,427.6,1,427.6
12743,270.065,2,540.13
12744,3039.8985714285714,7,21279.29
12747,381.4554545454546,11,4196.01
12748,158.14923444976077,209,33053.19
12749,818.176,5,4090.88
12750,275.88,1,275.88
12752,4366.78,1,4366.78
12753,3571.565,6,21429.39
12754,1003.5799999999999,3,3010.74
12755,1905.975,2,3811.95
12756,112.07999999999998,1,112.07999999999998
12757,602.6653846153847,13,7834.6500000000015
12758,1395.795,2,2791.59
12759,510.48,3,1531.44
12762,949.26,2,1898.52
12763,247.04,2,494.08
12764,1693.88,1,1693.88
12766,998.5185714285715,7,6989.63
12769,1143.6,1,1143.6
12770,1351.45,1,1351.45
12772,892.47,1,892.47
12775,277.20799999999997,5,1386.04
12778,137.03833333333333,6,822.23
12779,497.67,8,3981.36
12781,413.37,2,826.74
12782,466.184,5,2330.92
12783,370.98499999999996,6,2225.91
12784,266.40999999999997,2,532.8199999999999
12785,311.95,1,311.95
12787,154.55333333333334,3,463.66
12789,91.85,1,91.85
12790,324.92,1,324.92
12791,192.60000000000002,1,192.60000000000002
12792,400.53999999999996,1,400.53999999999996
12793,272.74,2,545.48
12794,430.205,2,860.41
12795,430.48,1,430.48
12797,254.03,1,254.03
12798,2325.68,3,6977.039999999999
12802,427.58,1,427.58
12808,161.21666666666667,3,483.65
12809,489.31,1,489.31
12811,171.61666666666667,3,514.85
12812,229.64000000000001,1,229.64000000000001
12814,125.92,1,125.92
12815,531.73,2,1063.46
12816,286.1,2,572.2
12817,166.04,1,166.04
12818,1542.08,1,1542.08
12820,235.585,4,942.34
12821,92.72,1,92.72
12822,474.44,2,948.88
12823,351.9,5,1759.5
12824,397.12,1,397.12
12826,210.67428571428573,7,1474.72
12827,143.38333333333335,3,430.1500000000001
12828,169.785,6,1018.71
12829,146.5,2,293.0
12830,1135.7733333333333,6,6814.639999999999
12831,215.05,1,215.05
12832,191.515,2,383.03
12833,417.38,1,417.38
12834,312.38,1,312.38
12836,652.59,4,2610.36
12837,134.1,1,134.1
12838,335.975,2,671.95
12839,399.38714285714286,14,5591.42
12840,681.6925,4,2726.77
12841,159.6632,25,3991.58
12842,559.495,2,1118.99
12843,212.7825,8,1702.26
12844,162.98000000000002,2,325.96000000000004
12845,88.5225,4,354.09
12847,843.64,1,843.64
12849,505.145,2,1010.29
12851,131.81,1,131.81
12852,311.55,1,311.55
12853,326.18333333333334,6,1957.1
12854,438.75,3,1316.25
12855,38.1,1,38.1
12856,361.7966666666667,6,2170.78
12857,553.2,2,1106.4
12863,521.2,1,521.2
12864,147.12,1,147.12
12865,784.115,2,1568.23
12866,559.12,1,559.12
12867,572.7628571428571,7,4009.3399999999997
12868,267.84333333333336,6,1607.0600000000002
12871,190.32,2,380.64
12872,299.985,2,599.97
12873,374.0,1,374.0
12875,171.61500000000004,2,343.2300000000001
12876,1109.01,2,2218.02
12877,127.98083333333334,12,1535.77
12878,427.495,2,854.99
12879,191.07333333333335,3,573.22
12881,298.0,1,298.0
12882,731.52,2,1463.04
12883,175.8675,4,703.47
12884,309.05,1,309.05
12885,391.74,3,1175.22
12886,689.2,2,1378.4
12888,177.06,2,354.12
12890,376.71999999999997,1,376.71999999999997
12891,110.33333333333333,3,331.0
12893,176.55,1,176.55
12895,186.4,2,372.8
12897,108.25,2,216.5
12901,630.5192857142857,28,17654.54
12902,138.68,1,138.68
12904,248.03,2,496.06
12906,583.962,5,2919.81
12908,375.0,2,750.0
12909,435.73400000000004,5,2178.67
12910,384.38,8,3075.04
12912,332.46,5,1662.3
12913,496.726,5,2483.63
12915,181.825,2,363.65
12916,736.2375,4,2944.95
12917,594.0,1,594.0
12919,222.53166666666667,6,1335.19
12920,162.78,1,162.78
12921,448.29972972972973,37,16587.09
12922,405.38,1,405.38
12923,172.82,1,172.82
12924,233.425,4,933.7
12925,347.025,2,694.05
12928,412.5400000000001,5,2062.7000000000003
12929,117.85,1,117.85
12930,207.9,2,415.8
12931,2803.730666666667,15,42055.96
12933,202.51,3,607.53
12935,308.6714285714285,7,2160.7
12936,265.975,4,1063.9
12937,376.0675,4,1504.27
12938,114.14,1,114.14
12939,1447.725,8,11581.8
12940,449.845,2,899.69
12942,225.20000000000002,3,675.6
12944,302.255,2,604.51
12945,462.95,1,462.95
12947,267.33166666666665,6,1603.9899999999998
12948,294.99285714285713,7,2064.95
12949,520.9025,8,4167.22
12950,614.3333333333334,3,1843.0
12951,177.345,6,1064.07
12952,346.9475,4,1387.79
12953,329.85,1,329.85
12955,432.4690909090909,11,4757.16
12956,108.07,1,108.07
12957,502.1925,8,4017.54
12962,133.195,2,266.39
12963,232.07875,8,1856.63
12965,769.8100000000001,1,769.8100000000001
12966,160.18,1,160.18
12967,830.45,2,1660.9
12968,135.95,1,135.95
12970,101.3675,4,405.47
12971,130.11523255813952,86,11189.91
12974,144.8,1,144.8
12976,738.6,1,738.6
12977,39.239999999999995,1,39.239999999999995
12980,819.4333333333334,9,7374.900000000001
12981,186.10999999999999,2,372.21999999999997
12982,390.54,1,390.54
12984,97.5,1,97.5
12985,619.69,2,1239.38
12987,279.35,2,558.7
12988,505.82,1,505.82
12989,461.6073333333334,15,6924.110000000001
12990,136.5,3,409.5
12991,251.88,2,503.76
12993,103.69,4,414.76
12994,324.8066666666667,3,974.4200000000001
12995,211.32,1,211.32
12997,306.7225,4,1226.89
12999,151.96,3,455.88
13000,178.28333333333333,3,534.85
13001,752.7669230769231,13,9785.970000000001
13002,120.94999999999999,1,120.94999999999999
13003,49.68333333333334,3,149.05
13004,314.21722222222223,18,5655.91
13005,256.85,2,513.7
13006,81.57,1,81.57
13008,229.46999999999997,1,229.46999999999997
13011,50.550000000000004,1,50.550000000000004
13012,205.85500000000002,8,1646.8400000000001
13013,370.07230769230773,13,4810.9400000000005
13014,346.628,10,3466.2799999999997
13015,667.928,5,3339.64
13016,263.2966666666667,3,789.8900000000001
13017,204.0,1,204.0
13018,259.91785714285714,28,7277.7
13021,290.7088888888889,9,2616.38
13023,344.95,2,689.9
13026,195.072,5,975.36
13027,1152.0,6,6912.0
13028,330.65999999999997,2,661.3199999999999
13029,415.8333333333333,3,1247.5
13030,376.21999999999997,2,752.4399999999999
13032,505.09,2,1010.18
13033,190.55,1,190.55
13034,321.385,2,642.77
13035,460.94,2,921.88
13037,293.69,3,881.0699999999999
13038,302.82,3,908.46
13040,338.495,2,676.99
13043,516.42,1,516.42
13044,560.47,1,560.47
13045,305.28000000000003,1,305.28000000000003
13046,314.655,2,629.31
13047,323.754,10,3237.54
13048,454.8525,4,1819.41
13049,328.34000000000003,2,656.6800000000001
13050,343.3447058823529,17,5836.86
13052,348.15000000000003,1,348.15000000000003
13055,404.80333333333334,3,1214.41
13058,90.46666666666668,3,271.40000000000003
13059,183.4,1,183.4
13060,307.53,1,307.53
13061,248.61,1,248.61
13062,346.98,1,346.98
13064,276.3975,4,1105.59
13065,205.86,1,205.86
13066,235.4,2,470.8
13067,115.46000000000001,1,115.46000000000001
13068,172.0,2,344.0
13069,184.64333333333332,24,4431.44
13070,228.8,1,228.8
13072,177.15,1,177.15
13075,919.61,1,919.61
13077,182.005,4,728.02
13078,485.69,26,12627.94
13079,44.02,5,220.10000000000002
13080,58.08,1,58.08
13081,2576.1254545454544,11,28337.379999999997
13082,401.51444444444445,9,3613.63
13083,151.875,2,303.75
13085,208.04000000000002,2,416.08000000000004
13089,605.7946391752578,97,58762.08
13090,636.4871428571429,14,8910.82
13091,345.82,1,345.82
13092,95.566,5,477.83000000000004
13093,979.05875,8,7832.47
13094,160.61,12,1927.3200000000002
13095,74.39999999999999,1,74.39999999999999
13097,600.322,10,6003.22
13098,1031.5157142857142,28,28882.44
13099,207.35999999999999,1,207.35999999999999
13101,101.19,1,101.19
13102,267.67041666666665,24,6424.09
13103,243.94,1,243.94
13104,183.08,6,1098.48
13106,76.5,1,76.5
13107,382.90500000000003,4,1531.6200000000001
13108,350.06,1,350.06
13109,393.27,2,786.54
13110,212.66714285714286,7,1488.67
13113,510.2483333333334,24,12245.960000000001
13115,573.695,4,2294.78
13116,501.14,1,501.14
13117,123.11375,8,984.91
13118,239.56199999999998,5,1197.81
13120,30.599999999999998,1,30.599999999999998
13121,283.73,1,283.73
13122,461.195,2,922.39
13124,1252.11,3,3756.33
13126,262.455,8,2099.64
13127,259.17,1,259.17
13130,64.0,1,64.0
13131,357.76666666666665,3,1073.3
13132,77.3,1,77.3
13133,54.9,2,109.8
13134,448.395,4,1793.58
13135,3096.0,1,3096.0
13136,521.522,5,2607.61
13137,450.41125,8,3603.29
13138,160.39833333333334,6,962.3900000000001
13139,723.5628571428571,7,5064.94
13140,140.82333333333335,3,422.47
13141,477.75,5,2388.75
13142,307.09,1,307.09
13144,110.95,1,110.95
13145,154.63,4,618.52
13146,228.91,1,228.91
13147,178.20000000000002,4,712.8000000000001
13148,306.93833333333333,12,3683.26
13149,419.015,4,1676.06
13151,1257.8700000000001,1,1257.8700000000001
13153,486.22,1,486.22
13155,242.94,4,971.76
13157,435.305,4,1741.22
13158,300.265,4,1201.06
13159,357.3375,4,1429.35
13160,91.8,1,91.8
13161,112.75,1,112.75
13162,422.0725,4,1688.29
13165,510.74,2,1021.48
13166,417.2,1,417.2
13167,197.8325,4,791.33
13168,324.8975,4,1299.59
13169,356.44,2,712.88
13170,108.81,1,108.81
13171,156.13666666666668,3,468.4100000000001
13173,176.825,2,353.65
13174,914.2733333333334,3,2742.82
13176,481.49,1,481.49
13177,282.45,1,282.45
13178,520.4972727272727,11,5725.47
13182,121.18,1,121.18
13183,439.75333333333333,9,3957.7799999999997
13184,166.895,10,1668.95
13185,71.4,1,71.4
13186,525.2966666666667,3,1575.8900000000003
13187,236.02,1,236.02
13188,114.60000000000001,1,114.60000000000001
13189,130.34,2,260.68
13192,455.97,2,911.94
13193,112.08,1,112.08
13194,60.7,1,60.7
13196,449.445,4,1797.78
13198,566.8733333333333,6,3401.24
13199,258.34526315789475,38,9817.12
13200,217.5225,4,870.09
13203,217.365,4,869.46
13207,125.13000000000001,2,250.26000000000002
13208,202.9416666666667,6,1217.65
13209,736.45125,8,5891.61
13210,353.48,1,353.48
13211,365.14000000000004,3,1095.42
13212,262.2766666666667,3,786.8300000000002
13213,304.116,5,1520.58
13216,333.74,1,333.74
13217,177.99333333333334,3,533.98
13218,62.63999999999999,1,62.63999999999999
13220,204.82250000000002,4,819.2900000000001
13221,423.705,2,847.41
13223,81.60000000000001,2,163.20000000000002
13224,1077.975,2,2155.95
13225,923.4057142857143,7,6463.84
13226,108.21000000000001,1,108.21000000000001
13227,257.7,1,257.7
13228,358.0,1,358.0
13229,160.95,1,160.95
13230,196.8307142857143,14,2755.63
13232,189.7642857142857,7,1328.35
13233,302.56,2,605.12
13235,1031.07,1,1031.07
13236,372.425,2,744.85
13238,175.1825,4,700.73
13239,329.56,1,329.56
13240,165.9125,4,663.65
13242,90.13333333333334,3,270.40000000000003
13243,585.12,1,585.12
13244,121.74000000000001,1,121.74000000000001
13245,430.5,1,430.5
13246,326.92,6,1961.52
13247,125.28,4,501.12
13248,232.84,2,465.68
13249,237.13666666666666,3,711.41
13253,515.2,2,1030.4
13255,199.755,2,399.51
13258,224.27666666666667,3,672.83
13259,283.18,1,283.18
13260,557.62,1,557.62
13261,472.05,2,944.1
13262,200.29,1,200.29
13263,212.48371428571429,35,7436.93
13265,418.532,5,2092.66
13266,319.52166666666665,12,3834.2599999999998
13267,237.97315789473683,19,4521.49
13268,288.6136363636364,11,3174.75
13269,356.21866666666665,15,5343.28
13270,590.0,1,590.0
13271,211.49,1,211.49
13272,138.28,2,276.56
13273,138.98,1,138.98
13276,295.46500000000003,2,590.9300000000001
13277,64.6,4,258.4
13278,542.73,1,542.73
13279,137.75,1,137.75
13280,266.15333333333336,3,798.46
13282,377.38000000000005,3,1132.14
13283,46.83,2,93.66
13284,201.19,1,201.19
13285,677.28,4,2709.12
13291,361.11,1,361.11
13292,289.46999999999997,2,578.9399999999999
13294,436.87,2,873.74
13295,201.20000000000002,1,201.20000000000002
13296,87.4,1,87.4
13297,522.4625,4,2089.85
13298,360.0,1,360.0
13299,142.5,1,142.5
13300,371.89,1,371.89
13301,154.5225,4,618.09
13302,63.75,1,63.75
13304,300.42,1,300.42
13305,200.08599999999998,10,2000.86
13307,15.0,1,15.0
13308,461.83666666666664,3,1385.51
13309,291.358,5,1456.79
13310,377.3433333333333,3,1132.03
13311,299.285,2,598.57
13313,311.06399999999996,5,1555.3199999999997
13314,258.6466666666667,3,775.94
13316,1433.2325,4,5732.93
13317,378.94666666666666,6,2273.68
13318,213.58666666666667,3,640.76
13319,417.1365384615385,26,10845.550000000001
13320,383.05,4,1532.2
13321,283.68,2,567.36
13322,199.48000000000002,1,199.48000000000002
13323,157.57,5,787.8499999999999
13324,712.1949999999999,10,7121.949999999999
13325,675.3,1,675.3
13327,453.47125,8,3627.77
13328,1308.48,1,1308.48
13329,394.5,2,789.0
13330,380.31,3,1140.93
13332,350.9,1,350.9
13334,1167.44,3,3502.32
13336,795.12,1,795.12
13338,487.02,1,487.02
13339,860.12,1,860.12
13340,1533.782857142857,7,10736.48
13341,775.85,1,775.85
13343,353.43,1,353.43
13344,837.23,3,2511.69
13345,389.5,1,389.5
13347,341.36,1,341.36
13348,233.76,1,233.76
13349,247.32,1,247.32
13350,489.56,2,979.12
13351,373.94,1,373.94
13352,397.97999999999996,1,397.97999999999996
13354,743.53,1,743.53
13355,674.7,1,674.7
13356,768.24,1,768.24
13357,609.4,1,609.4
13358,439.03,1,439.03
13359,439.56,1,439.56
13362,772.6850000000001,4,3090.7400000000002
13363,496.25,2,992.5
13364,134.95999999999998,1,134.95999999999998
13365,1112.685,2,2225.37
13366,56.160000000000004,1,56.160000000000004
13368,311.7,2,623.4
13369,308.28000000000003,1,308.28000000000003
13370,754.87,1,754.87
13372,378.64,1,378.64
13373,1104.0833333333333,3,3312.25
13375,778.65,1,778.65
13376,339.92,3,1019.76
13379,190.85333333333332,3,572.56
13381,606.5516666666666,6,3639.3099999999995
13382,222.99,1,222.99
13384,593.1328571428572,7,4151.93
13385,534.57,1,534.57
13388,338.55,2,677.1
13389,265.9866666666667,3,797.96
13390,544.08,1,544.08
13391,59.8,1,59.8
13394,315.0025,8,2520.02
13395,307.72,1,307.72
13396,680.495,2,1360.99
13397,308.826,5,1544.13
13398,457.34,1,457.34
13402,310.615,2,621.23
13403,75.0,1,75.0
13404,126.245,2,252.49
13405,190.817,3,572.451
13408,453.5006451612903,62,28117.04
13410,200.612,5,1003.06
13411,213.55,1,213.55
13414,463.5,3,1390.5
13416,356.25,2,712.5
13417,320.415,2,640.83
13418,340.4127777777778,18,6127.43
13419,221.06,1,221.06
13420,79.925,2,159.85
13421,916.855,2,1833.71
13422,2626.3,1,2626.3
13425,541.4033333333333,3,1624.21
13426,364.132,10,3641.32
13427,194.20000000000002,3,582.6
13428,201.78,1,201.78
13429,251.7,4,1006.8
13430,339.725,2,679.45
13431,634.55,2,1269.1
13434,267.12,2,534.24
13435,544.2700000000001,7,3809.890000000001
13436,196.89,1,196.89
13437,486.86571428571426,7,3408.06
13439,283.71,1,283.71
13441,296.64,1,296.64
13447,376.38000000000005,3,1129.14
13448,589.115,6,3534.69
13449,291.88,1,291.88
13450,340.61999999999995,6,2043.7199999999998
13451,579.6519999999999,5,2898.2599999999998
13452,295.0,2,590.0
13453,178.48999999999998,2,356.97999999999996
13455,529.17,2,1058.34
13456,294.4533333333333,6,1766.7199999999998
13458,689.0407142857142,14,9646.57
13460,91.72,2,183.44
13461,481.6666666666667,3,1445.0
13462,151.5,1,151.5
13464,674.68,1,674.68
13466,307.9,1,307.9
13467,535.955,2,1071.91
13468,154.1883783783784,37,5704.97
13470,82.5,2,165.0
13471,625.46,4,2501.84
13473,211.32,2,422.64
13474,226.84,1,226.84
13475,357.945,4,1431.78
13476,619.235,2,1238.47
13477,242.42999999999998,6,1454.58
13479,150.475,2,300.95
13481,360.912,5,1804.56
13482,184.64,1,184.64
13483,140.34,1,140.34
13484,313.8,1,313.8
13485,454.24,1,454.24
13486,374.1366666666667,3,1122.41
13487,191.79999999999998,3,575.4
13488,689.87,13,8968.31
13489,112.38,4,449.52
13491,121.582,10,1215.82
13492,423.28,3,1269.84
13493,309.315,2,618.63
13494,316.26000000000005,1,316.26000000000005
13495,408.97400000000005,5,2044.8700000000003
13496,326.665,2,653.33
13497,174.025,2,348.05
13499,231.82199999999997,5,1159.11
13500,388.92333333333335,3,1166.77
13501,1340.32,1,1340.32
13502,97.33333333333333,3,292.0
13503,216.85,1,216.85
13504,295.93,1,295.93
13505,1098.4075,4,4393.63
13506,229.26,2,458.52
13507,619.79,4,2479.16
13508,110.97,1,110.97
13509,139.96,7,979.72
13510,447.89,4,1791.56
13512,251.21,1,251.21
13513,205.1,1,205.1
13514,152.20000000000002,1,152.20000000000002
13515,222.78,4,891.12
13516,463.1366666666667,3,1389.41
13517,709.4733333333334,3,2128.42
13518,627.16,1,627.16
13519,122.75,1,122.75
13520,604.0583333333333,6,3624.3499999999995
13521,357.24333333333334,3,1071.73
13522,125.80000000000001,1,125.80000000000001
13523,792.976,5,3964.88
13524,136.036,5,680.1800000000001
13525,314.39,2,628.78
13527,320.33714285714285,7,2242.36
13529,153.88,2,307.76
13531,241.9,2,483.8
13532,210.31,1,210.31
13533,89.69666666666666,3,269.09
13534,234.8032,25,5870.08
13536,492.05571428571426,7,3444.39
13538,182.97857142857143,7,1280.85
13539,210.4466666666667,3,631.34
13544,138.03,2,276.06
13546,207.03,3,621.09
13548,339.08,2,678.16
13549,131.17142857142858,7,918.2
13551,91.80000000000001,1,91.80000000000001
13552,311.6725,12,3740.07
13555,1024.72,4,4098.88
13557,292.03,2,584.06
13558,148.63,4,594.52
